,Consumer complaint narrative
1143,"I checked my credit report when purchasing a vehicle, that is when I realized I am a victim of identity theft. I filed a report with the F.T.C and my local police department. I send all documents to the C.R.A and XXXX XXXX XXXX, XXXX, and Wells Fargo Card. The Account Opened is XXXX XXXX XXXX/XXXX Account Number : XXXX Date Opened : XX/XX/XXXX Balance : { {$9400.00} } .00 }. I have never opened an account with them, I am a victim of identity theft and I need this resolved and removed from my name and credit bureaus."
1146,"On  XXXX   XXXX ,    2017, w e received a letter from  XXXX   XXXX   XXXX , Senior Vice President,  Loan Operations, Consumer Financial Services, for Wells Fargo. In that letter, I was informed, "" [ i ] n a   recent review of your relationship wit h Wells Fargo, w e found that you have defaulted on a Wells Fargo loan account. As a result, we are closing your credit card account as of the date of this letter...  "". A copy of this letter is attached to this complaint. In addition, Wells Fargo has filed a credit report with  XXXX  notifying them that we 've defaulted on Well 's Fargo 's account ending in the digits    XXXX .      We 've reviewed Wells Fargo 's allegation and have determined they are false. Documentary evidence supporting our determination is attached. We have brought this matter to your attention because of concerns that Wells Fargo 's allegation is also potentially fraudulent. Discussions with Wells Fargo  staff today to attempt to resolve this issue have been inconclusive, and we are concerned about the inaccurate report to   XXXX   remaining on our credit report. In speaking with  XXXX  from  Wells Fargo 's  "" executive office '' (  XXXX , extension  XXXX  ), we received the following information  : 1 ) this might have been a clerical error ; and/or 2 ) this might have been due to inappropriate activity on another Wells Fargo account ending in the dig its  XXXX . As described below, we have had no such account at any time. She has informed us this matter will require 10 days to resolve, however has not provided any additional information regarding the steps involved with the resolution.     Information pertinent to this matter is attached to this complaint :  1. The Wells Fargo ac count is paid by direct deposit from a  XXXX   XXXX  checking account. Attached is a record of on-time payments to th e Wells Fargo account going back well over one year .      2. Wells Fargo alle ges that we have an second account with them which we have defaulted upon. In reviewing our credit report, we do not have any accounts wit h Wells Fargo except for the one en ding in the digits  XXXX . Attached are a   XXXX  -bureau credit report documenting our account history, and a account report from  XXXX .   XXXX   of these show only the sin gle Wells Fargo account ending in digits  XXXX ."
1147,"In XX/XX/ 2019 I attempted to close all of my accounts with Wells Fargo which included a credit card with an ending balance of {$2000.00}. I was closing these due to the horrible customer service and lack of customer care. Having moved all my accounts, I was getting contacted by WF and I assumed that it was in efforts to win back my business. Instead, I find out in the process of buying a house that WF accepted two more months of ACH revolving charges and was charging me late fees and interest which they reported to the credit bureaus. This brought my middle score from XXXX to XXXX. The total amount for actual charges was approximately {$120.00}. In XXXX  I called the branch multiple times to inform them of their mistake of taking ACH payments on a closed card. The branch tried to reduce the 'fees ' but said they could not do anything about the interest. I said that I should not have any fees on a closed account. At this point, nothing was said to me by the branch about my credit card status. After many hours on the phone, I finally was offered to call the 'executive ' branch of Wells Fargo to file a complaint. This process takes 10 days they say. A girl named XXXX at ext XXXX managed the case # XXXX. After many days, XXXX said that I never close my credit card account! She also said that was why thay took the extra payments. I told her that was not the case and that I close all accounts on the same day. She said that was not what their records indicated. Wells Fargo offered to reduce the late fees but not the interest and thats where we stand as of today. M|With all the negative press that WF has had recently, I wondered how many other people this was being done to. If you go into a branch to close an account and they do not really close it, that's a new source of revenue in late fees and interest.???"
1148,XX/XX/XXXX I initiated fte payment from my XXXX XXXX to wells fargo in amount of XXXX. It arrived into wells fargo on XX/XX/XXXX. They have placed a hold on the payment for 14 days they state amounts over ( a certain amount ) are held for 14 days before release into the account. This amount was removed from my XXXX acct and credited to wells fargo - they acknowledge having it but will not clear my account. I have escalated this to senior customer service at wells fargo none of whom speak clear english I never did get an answer as to why it takes 14 days or what the magical number is that then indicates they place your money into the hold. Wells fargo clearly have not learned anything from thier recent bad press about customer service!
1150,Received letter dated XX/XX/2023 From Wells Fargo NA XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX. Subject : Decision about your credit card application # XXXX. Person was applying for XXXX XXXX XXXX credit account. Application was denied : unable to authenticate identity of applicant. After reviewing my credit report hard inquiry was done on XX/XX/2023. This was not me and I am concerned that my identity was used.
1151,"On XX/XX/XXXX I was told by a Wells Fargo banker that I had perfect credit and thus qualified for their Visa Signature card. He explained that this was an extremely difficult card to qualify for and had a 0 % interest rate as long as I made the minimum monthly payments. This same banker also told me that I needed to open three accounts with him to avoid monthly service fees, so I opened the credit card account. He asked me to electronically sign on the penpad in agreement to his verbal description without showing me the agreement on his monitor which turned out to be quite different.

Turns out the banker ( name not provided by WF, they said I'd need a subpoena ) had lied in order to open the extra account, likely influenced by Wells Fargo 's "" employee sales goal program '' craze that was controversially implemented at that time. Three years later, my financial situation shifted and I set my account to auto-pay the minimum to keep the interest rate at zero until my income resumed. The 0 % interest had actually applied only the first 12 months, regardless of paymen
t plan, and so my balance began to rise, compound, and rise faster.

I have filed six complaints with Wells Fargo ; they "" misplaced '' two of them, and took over a month to "" investigate '' each one, with the time lengthening with each complaint. They also transferred my phone calls from office to office and "" dropped '' my call without a return number so I would have to re-explain my whole story to the next customer service representative. It is clear they were retaliating and stalling to build more interest as the months wore on. 

I have XXXX and I'm on the spectrum, so I don't do well with battling bureaucracy and it escalated to the point that I began having panic attacks on the phone with customer service and even when attempting to log online to pay my bill. I called their XXXX comment line listed on Wells Fargo 's Accessibility webpage to ask for XXXX accommodation, but it turned out to be a bogus number, directing me to the executive office who admitted they didn't have an ADA hotline. 

Each letter I got from Wells Fargo in response to the complaints I filed were filled with condescending reassurances about Wells Fargo "" building better every day '' and "" appreciate the opportunity to serve your financial needs ''. They also say that they need time to review my complaint and I should expect a response in a month ( including time for mail delivery, which is their sole method of complaint correspondence ). The most recent letter I received was regarding a complaint filed XX/XX/XXXX and they said I can expect a response by XX/XX/XXXX. That is three entire months of interest they are charging me while they "" consider '' refunding my interest. 

Their solution to my request for XXXX accommodation was a rather insulting letter exalting their conformity to the ADA and suggesting that I can receive assistance by walking into any Wells Fargo branch office. First, there aren't any Wells Fargo offices in Massachusetts and barely any in all of XXXX XXXX. Second, telling someone with social XXXX to walk into a bank who has caused him to suffer XXXX XXXX when confronted with financial stress shows a shameful misunderstanding of my request from my six complaints. In mid-XX/XX/XXXX this year, one of the Wells Fargo customer service representatives agreed to reimburse me for costs in hiring a third-party XXXX advocate, but they later denied the conversation when I asked for it in writing, and told me I'd need a subpoena to access their phone recording for "" quality assurance ''. The guarantee I finally got in writing was very different from the one we had made over the phone from which I hired a XXXX advocate that Wells Fargo will probably refuse to reimburse me for."
1153,"XXXXXXXX XXXX  XXXX XXXX through Wells Fargo decreased my line of credit from {$2900.00} to {$1000.00}. This was done because my account was considered inactive. I have not charged any items on the account for over 1 year. Due to COVID I was not shopping in stores and I did not need the amount of clothing I had ordered in the past. 

Wells Fargo did not contact me prior to making the reduction in the credit line. I was advised through my XXXX account a change had been made in my credit limits. I started calling Wells Fargo on After several calls to XXXXWell Fargo I received a letter acknowledging my contacting the company. 

I talked with XXXX on XX/XX/1922 who stated a letter from Wells Fargo was mailed to me on XX/XX/22. I have yet to receive that letter. He escalated my complaint to Wells Fargo and I talked with XXXX. I was told by all customer representatives my credit limit could not be restored because Wells Fargo was not making any increases on XXXXXXXX XXXX XXXX XXXX 

Please see the attached documents. 

I received a call from XXXX on XX/XX/22 who again stated a letter was sent to me on XX/XX/22. I was still told Wells Fargo would not reconsider restoring my credit limit just because iit was not doing so."
1157,"I entered into a settlement with Wells Fargo for a XXXX credit card. When I made the final payment I was informed that it would take 45 days before Wells Fargo would contact the Credit Bureaus to inform them that the XXXX card was no longer in default. 

Is this normal? Why would it take 45 days to have the matter cleared up on my credit report."
1158,What I have done I contacted XXXX XXXX XXXX XXXX XXXX  XXXX XXXX about the account opened up by Wells Fargo I feel its a fraudulent account I never authorize them to open an account I authorize to credit search to see if I was eligible for a loan for the repairs between XXXX XXXX  and Wells Fargo they open up an account try never authorize they put it on my credit report as an open account which Ive never authorized I have filed a complaint with Wells Fargo I filed a complaint with the FDIC fraudulent actions by the bank and not feeling it I can play with you Im hoping that you guys can help you get this resolved have this taken offMy credit report thank you
1159,"Please reopen complaint XXXX. 
I have not received a response to my settlement request that was made several times in writing to the company. They state they have tried to reach me, but this is false. I do not have a phone and they have not responded via mail, even after being given my current address. This company has not provided a proposed response to my settlement request and is blocking my ability to settle this debt by ignoring the request."
1160,"To whom it may concern : I have a dispute with Wells Fargo that began on XX/XX/XXXX. 

I have two ( 2 ) Visa cards from Wells Fargo. One is a debit card associated with my personal checking account, the other is a credit card associated with my XXXX XXXX XXXX. 

On XX/XX/XXXX a company called XXXX initiated a charge-back of {$65.00} to my debit card, and charged an equal amount to my XXXX XXXX XXXX credit card. The person at XXXX who initiated the charge-back told me that if I had an urgent need for the funds, that Wells Fargo could expedite the charge-back process. Regrettably, Wells Fargo refused to provide this service. 

My complaint about this issue was escalated to XXXX XXXX at Wells Fargo Customer Care Executive Services. XXXX XXXX stated that she could not accommodate my request. I stated that my need for an expedited charge-back was due to a XXXX XXXX, and that that my request was for a reasonable accommodation under the Americans with Disabilities Act of 1990.  XXXX XXXX stated that Wells Fargo did not have an obligation to accommodate my XXXX. 

I asked XXXX XXXX to provide me with contact information for the regulatory agency that I could file a complaint against Wells Fargo with. It is my understanding that banks are required to provide this information to customers who ask for this information. Regrettably, XXXX XXXX refused to provide me with this information. I stated to XXXX XXXX that she was refusing to comply with Federal law by refusing to provide me with this information. XXXX XXXX replied that she was not refusing to do anything. I replied that XXXX XXXX was indeed engaging in an act of refusal. 

XXXX XXXX finally agreed to escalate this issue to Wells Fargo Case Management, and she stated that this department of Wells Fargo would contact me by telephone on XX/XX/XXXX. I stated to XXXX XXXX that I would not file complaints against Wells Fargo with the government before XXXX  on XX/XX/XXXX, and that Wells Fargo should be sure to get back to me before this time of day. 

At XXXX XXXX  I received a telephone call from XXXX XXXX of Wells Fargos Consumer Case Management Executive Office. XXXX XXXX spoke to me in an abusive tone of voice that escalated in intensity over the course of our unpleasant conversation. XXXX XXXX stated that Wells Fargo did not have an obligation to make accommodations for XXXX people. 

Thank you for any help you can provide with improving upon the unethical business practices of Wells Fargo. 

Best regards, XXXX XXXX"
1162,"On XX/XX/XXXX my son was in a XXXX XXXX ; resulting in XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( for verification search # XXXX in your web search engine ). This was immediately on the heels of my employer ( XXXX XXXX ) laying my off while on XXXX/XXXX  for XXXX   XXXX. 

As a result I struggled most of XXXX to keep up with my bills, but I was able to make minimum payments until I was able to get back to work in XX/XX/XXXX. Unfortunately getting back to work did not help much as it required me to work out of state for nearly a year. The added expense meant I was no longer able to make my minimum payments on my Wells Fargo credit card. 

I was making the minimum payments to the best of my ability and requested help with the remaining balance. Instead my account was closed and the debt was sold to a debt collection agency. I now have TWO agencies hurting my credit over their refusal to work with me."
1164,"I opened Wells Fargo Business Platinum credit card on XX/XX/XXXX. The sign up bonus was {$500.00} after spending {$5000.00} within 90 days of an opening of credit card. I met the spend by XX/XX/XXXX. I waited for a month and contacted Wells Fargo twice in XX/XX/XXXX. I was told that the offer was not attached to my account and I asked for the copy of T & C that I signed up for this credit card. But they declined. They were not helpful and not willing to help solve my issues. 

My name : XXXX XXXX"
1166,"Sent in a payment coupon to company in XX/XX/2022. Company did not apply my payment and closed my account without giving reason or notice. 

Pursuant to 15 USC 1692c. ( c ) I am notifying you in writing that I refuse to pay this alleged debt that I already paid and you refused to accept, and I am demanding that you cease all forms of communication with me through any and all mediums unless it pertains to my remedy in writing via mail. Pursuant to 15 USC 1692c. ( c ) ( 2 ) - I am invoking my specified remedy as a consumer, and the original creditor I am demanding all of the following : Deletion from all consumer reports. Return requested documents so I can properly assess the validity of any debt Cease and rescind use of my intellectual property, my signature stating I agreed to close such account or was giving notice to close such account. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
1168,"Wells Fargo and XXXX XXXX fraudulently signed me up for the Wells Fargo Visa Home Projects credit card, without my knowledge or consent, to finance a purchase of windows from XXXX XXXX of XXXX, Arkansas. 

Please see the attached materials in support of the CFPB complaint. 

I request the CFPB to investigate the Wells Fargo Visa Home Projects credit card product line for widespread fraud and consumer abuses."
1169,"Telephoned Wells Fargo for a ne Am Ex Propel card ( no annual fee and no Int'l transaction fees ) Upon giving my information to the receptionist, when she heard my address : XXXX  XXXX XXXX  XXXX, XXXX XXXX XXXX, She immediately said, that I was refused because there was no way to verify me as a client. 
Hence, Wells Fargo is discriminating against any and all people with APO 's because they fail to have a method to "" qualify "" the applicants. 

In pursuing this I wound up making several other phone calls and writing letters. 
One phone call in particular was almost 2 hours ( 1 hr 56 min ) before I hung up and went to bed, The time difference between me and the States is that I am 6 hrs ahead of EST.

Wells Fargo is only able to verify aplicants in the states using a 10 digit US phone number. 
I am not in the states and do not have a 10 digit US number that I can receive messages on.

Additionally, they absolutely insist on all applicants havinng a US STREET ADDRESS, no Post office boxes and NO APO 's.

Again, this is discriminatory.

I XXXX XXXX XXXX XXXX for an American Co. I am an American and have been since my birth. 
I have a credit score of XXXX, and I own many parcels of real estate, I have a 6 figure income and virtually no debt other than a couple of mortgages, There is no reason I should not receive a credit card other than for their discriminatory practices."
1170,"I applied for the Wells Fargo Business Platinum Credit card on XX/XX/XXXX. I applied through a link that offered a {$500.00} bonus after spending {$5000.00} on the card within the first three months, and 1.5 % cash back on all purchases. I met the spending requirement and paid it off on XX/XX/2018. At about this time I received on offer to get 1.5 % cash back on my card. This did not make sense because I signed up for the card to get the cash back, and should have received cash back for all purchases as soon as I started spending I called to see what the issue was, they told me I didn't sign up for the bonus, although I clearly clicked the link and the rep was familiar with the bonus. The rep suggested that because I met the requirements I file a dispute, I did so on XX/XX/XXXX. When I never heard from them I called XX/XX/XXXX, they said they have still not got to the dispute and I needed to wait. I never heard from them again, so I called on XX/XX/XXXX. They again said it had not been looked at but sent it to a research reference team to see if I had met the qualification for the bonus ( which I clearly did ), and they would get back to me in 10 days. After not hearing from them for nearly a month I called on XX/XX/XXXX. At this point they gave me a case number and said I would be contacted in 24 hours. I have not heard from them. I took the initiative every time. They never contacted me back once. Every time I was told something different, however two reps told me since I met the requirements it will be honored, but that has not happened. I clicked a link to get this bonus, I have met the requirement. They have been ignoring me in hopes that I will go away."
1174,"Wells Fargo denied my credit card request for the XXXX XXXX in XXXX, IL. At the time, I wanted to build a home office business. I did not have a credit history but excellent payment history with a XXXX score of XXXX. XXXX XXXX XXXX approved my credit card for a {$3000.00} limit instead, which I used to set up an <bXXXX XXXX XXXX XXXX XXXXXXXX ( but not including other equipment I wanted to get like a photography camera, drone for video footage, and sewing studio, etc. ), and I build credit history with that paid in full. I am sure if the consumer was in a different income bracket there would have been better treatment. 

The date of the attempt to get a credit card was around XX/XX/2021."
1179,"Regularly, I receive solicitations from Wells Fargo that I neither want, nor need. I have closed every account with the institution and still get mail on a regular basis. I would like my information removed from the privacy systems for all lines of business with the company. I no longer want to receive any information about checking or savings accounts, credit cards, mortgage loans or other products."
1180,"XX/XX/21 placed order from XXXX. 
XXXX was sent email 2 refunds were issued. {$830.00} and {$2000.00} no refund ever issued. 
XX/XX/21 contacted XXXX and many times after that via phone email and online chat and never was returned anything. 

XX/XX/21 ordered from XXXX  {$1800.00} XX/XX/21 website states refund issued. then it says waiting on return and also says declined. got email also from XXXX  stating items will be returned which means they got the returns and never returned them. proof XXXX  is lying. 


XX/XX/21 placed order jag alliance {$910.00} so far no investigation done. 

wellsfargo called me but gave no reasons to why the denial. they claim XXXX wont turn over to them lebels or pictures of anything to prove items weren't returned but documents show they were. wellsfargo didn't ask or even demand proof of anything that was claimed. wellsfargo is suppose to be working for the card holder not the store. 

I am asking for all three charges to be refunded. I am asking for emotional destress. I am asking for any credit scores to be fixed. I am also asking for card to be turned off with no credit score changes and the balance to be delted to zero as part of the emotional destress. If wells fargo doesn't want to rectify this matter we will seek court action for the charges and damages also unfair credit reporting act. I will not play games with these companies anymore."
1181,"A credit card fraud dispute for a fraudulent {$2400.00} charge from a merchant who is a California State Bar Licensed Attorney, named XXXX XXXX XXXX, license # XXXX has been opened, denied, re-opened, re-denied and re-opened and re-closed by Wells Fargo for the past 2 years. The way such charge was placed on my credit card is still unknown as Wells Fargo still doesn't wish to disclose those facts to me, the credit card holder. After 2 years I still do not know how my credit card was charged : I don't know if it was manually swiped, used over the internet, entered in a specific paper form or charged over the phone. Wells Fargo would not disclose those information and still actively refuses to keep me in the loop. Again, the claim was opened, closed and reopened and denied and reopened infinite times in the past two years. Allegedly, the fraud claim was initially denied because the merchant was able to "" verify '' sufficient information. After months and years of complaining, Wells Fargo finally decided to disclose what specifically were those information that were successfully "" verified '' : to my deepest shock, the information were just my first and last name, the credit card number and allegedly also my phone number when I specifically stated that my entire backpack was stolen with my notes, agenda, wallet, smartphone with case with IDs and cards and therefore, obviously, all my information were compromised and completely exposed to easy fraudulent activity. My phone could be fraudulently used to make and receive phone calls on my behalf, my card could be fraudulently used, my signature could be copied very easily and so forth and so on. Years later, a large amount of new evidence was found and presented to Wells Fargo, yet it was either completely ignored or never received as Wells Fargo is still refusing to confirm the list of exhibits that they received and reviewed so far from me and from all the other parties involved in this case. Wells Fargo has finally denied again my claim, this time due to allegedly matching my signature "" on file '' with the signature allegedly captured and used by the merchant to charge my credit card, while even the merchant admitted in writing that someone stole my identity, pretend to be me and fled the country, and even invited me to put him in contact to Wells Fargo, promising he would cooperate to make sure I get my money back, only to later on, deny such cooperation after accusing me of wanting to "" enrich my self '' and wanting to collect twice the credit card charge refund since in the merchant 's knowledge and opinion Wells Fargo "" obviously already refunded me '' which sadly couldn't be more far from the truth. Wells Fargo refused to understand that my signature could be easily copied and reproduced, something that even the merchant understood and claimed yet Wells Fargo still refuses to provide me with a copy of such signature they allegedly have on file for me and ultimately, they even refuse to confirm if they received all the new evidence regarding the case, including a third party affidavit, a written statement made under penalty of perjury declaring that the credit card charge, that was never for legal services intended for me, the credit card holder, but rather for legal services allegedly rendered to that specific third party, were actually never rendered as promised in the agreement, making the whole charge invalid, regardless of the legitimacy of the fraud claim and regardless of the validity of the signature on the retainer fee agreement that is also, a document that is completely fraudulent, illegal and invalid as no one other than the actual client is allowed to sign and agree to be legally represented by an attorney and of course a State Bar complaint against the attorney was also filed this month, however, it can take up to one year for the State Bar to complete the investigation. At this point, after two years I am only left with the option of filing an external complaint and of course, filing legal action against Wells Fargo, however, Wells Fargo is also not cooperating as far as the available legal remedies to their customers. I should be made aware of any arbitration clause allegedly signed by me and or any other restriction to sue in small claims as this amount does not allow and justify to file a lawsuit in the Superior Court and/or hire a lawyer like Wells Fargo suggested."
1182,"This particular account situation that is lately filing on my own credit document has a seriously unfavorable relation to my personal ability to obtain a present loan application. I highly recommend you generate verification that Credit Union has been reported completely in  accordance with the Fair Credit Reporting Act regulations, it's really a serious problem to misreport. More confirmation of the aforesaid item too. My proper request must over, I was never 30 days/60 days/120 days late in any of my payments and I'm not greatly tuned in to the date opened so I prefer to ask you be investigated as soon as possible and confirmed to be correct. Thanks!"
1184,I dont feel its right I have a good relationship with Wells Fargo and decided to apply for the XXXX  card and I did and I was declined after I told them I have a fraud alert and the only reason is too many accounts opened 6 months this is ridiculous when I havent opened anything recently Im a good customer and I should be denied
1185,In the year of 2020 there were several transactions and purchases on my account i did not make any of the purchases and wells fargo did not resolve it
1188,"I hold a credit card with Wells Fargo Bank. I reviewed the statement, considering using it during the Corona economic disruption. I discovered the interest rate is more than 22 %. In Florida usury rate is 18 %. Today ( XX/XX/XXXX ) I called the credit card unit at XXXX ( I had previously submitted an online request and didn't hear back ( possibly XX/XX/XXXX or XX/XX/XXXX ) and asked them to decrease the interest rate - especially since interest rates are so low. 

The representative offered me a 'payment plan '. This was quite silly because I didn't say I had any problem paying, I just had an issue with the interest rate being usurious. 

The representative reiterated that no adjustments were being made in interest rate, but I could do a balance transfer with a 4 percent fee on the balance transferred for a 2.9 % 12 mos period. Again, that didn't address the issue of the overall rate being so high and usurious.

It seems Wells Fargo continues to ignore Consumer protection legislation. Very sad."
1190,I am a victim of Identity theft. Please delete or remove this item on my behalf. These items are not mine and this is greatly affecting me and my personal life. I request that you block the following information and Please let me know if you need any other information from me to block this information from my credit report. Thank you.
1191,"I have a store credit with XXXX XXXX XXXX which is thru Wells Fargo. If I would have known before applied wouldn't have done it. I am a going paying customer. My bill is due on the XXXXbof every month. I received a billed stating that I have a {$29.00} fee which I didn't understand. I called customer service and stayed my issue. Customer service representative stated yes I was a good paying customer and she couldn't help as well as her supervisor. I was told and quote "" Go to the bank and ask them to take it off. I was shocked and it was documented on my call either written or recorded. The bank stated she knew better than to tell me that. I have decided once I pay off this bill with the furniture store I will probably get rid of this account. Wells Fargo doesn't work for me"
1200,"Wells Fargo broke the law by : 1 ) increasing APR on my credit card without any reason - no monthly payment missed by me ever, no any other problems with paying off from my side 2 ) not notifying me properly about the APR increase 3 ) not giving me an opportunity to opt out the changes in the original terms in my agreement with them and not sending me a 45-day advance notice about the increase in APR.

The initial APR on the credit card with wells Fargo was 26.49 %, which was already ridiculously abnormal for a regular credit card with a major bank. 

Then that APR began changing, without any reason and proper notification of me, as follows : XX/XX/2018 : 27.24 % XX/XX/2018 : 27.49 % XX/XX/2018 : 27.74 % Total increase in APR is 1.25 % By filing this claim I opt out all the increases in APR and dispute the difference in APR charged by Wells Fargo on my account."
1201,"opened an account with wells fargo and notice lately they have the delaying the processing of the charges to confuse with the balance and become victim of fees, the account was assessed and insufficient charge {$35.00} today XX/XX/2017 and even I deposited the amount to cover the overdrawn which took 4 days to appear {$80.00} but made on the XX/XX/XXXX. I never sign for overdraft protection for this account and in the past when no funds available just do n't pay it. now somehow with the fraudulent staff they have they have turned on the overdraft protection on the account without my consent. and now they are charging the insufficient funds. 
I have tried to send the mails through their mobile website and it freezes when filling the form and when hitting the send button nothing happens, I feel I am being victim of fraudulent tactics by this bank to hurt my credit and profit illegally from me. 
I want to close this account and the insufficient charge reversed. 

Sincerely, XXXX XXXX"
1205,"BEING A VICTIM OF AN IDENTITY THEFT, I HAVE COMPLETED MY IDENTITY THEFT REPORT AND I HAVE ALSO CONTACTED WELLS FARGO FRAUD TEAM AT XXXX XXXX AND SPOKE WITH XXXX   AND I HAVE OPENED A FRAUD CLIAM WITH THEM AS WELL. THIS SECURED CREDIT CARD WAS OPENED FRAUDULENTLY, THIS ACCOUNT WAS NEVER MAINTAINED BY ME ITS A CLOSED CREDIT CARD WITH XXXX BALANCE. SOMEONE STOLE MY INFORMATION AND OPENED A FRAUDULENT SECURED CREDIT CARD. I HAVE ALSO MAILED MY IDENTITY HTEFT REPORT TO XXXX AND TO WELLS FARGO TO HAVE THIS ACCOUNT REMOVED FROM MY CREDIT REPORT."
1206,"I have requested, on numerous occasions, to have my credit card accounts closed. I have done everything Wells Fargo has asked and they still refuse to close the accounts that have fraudulent activity and they've not credited my account fully for the reported fraudulent activities. 

On XX/XX/XXXX I woke to find fraudulent charges on my account ending in XXXX. The first email stated that a XXXX XXXX added my card to their pay app. This email was received at XXXX XXXX. The code was supposed to be verified by my phone number ending in XXXX. It wasnt verified because I was sleeping. I then received another email at XXXX XXXX stating that the card was successfully added to XXXX XXXX XXXX. I received another email at XXXX XXXX that my phone number had been changed. At XXXX XXXX I received another email stating my email address had been updated with a new address. When I awoke and saw these messages, I immediately called Wells Fargo. It was XXXX XXXX eastern standard time. I was told that the card would be closed and a new card would be issued. After I made the phone call, I changed my information on the Wells Fargo online access and changed my account password. I even added 2 step verification. I am no longer able to get into my own account without getting a text code sent to my cell ending in XXXX. Additionally, I filed a police report. 

There were charges in the amount of approximately {$670.00}. These charges were all completed in XXXX CA to XXXX and XXXX store XXXX. A charge made at a later time at a XXXX in MN was declined. The fraudulent information put onto my account included an email and phone number - XXXX ( XXXX ) XXXX 


On XX/XX/XXXX at XXXX XXXX, I received a voice text stating that there was suspicious activity on card ending in XXXX. I didnt understand as I didnt have a card with those digits. I called Wells Fargo and was told that my account ending XXXX was still open and that I must have received the replacement card ending in XXXX because charges had been placed on that account as well. I responded that that was impossible given this card was issued just yesterday ( XX/XX/XXXX ) when I noticed fraudulent activity and hadn't even been mailed. I did not have the card and I wanted the account closed. I was told that the account would not be closed. I stated that I wanted all accounts closed and that those charges were fraudulent. I didnt even know what the new card number was until that phone call, and I only knew the last 4 digits. I was denied a closure on my accounts until I went to a bank. Since the closest Wells Fargo is in CT or NY, I was told I could go to a non Wells Fargo Bank. A restriction was placed on the card. 

On XX/XX/XXXX I went to my local bank, XXXX XXXX XXXX XXXX  at XXXX XXXX XXXX in XXXX Maine. A very nice associate, XXXX XXXX, assisted me. I was verified, the bank was verified and I was told that account ending in XXXX was closed. When I asked about closing account ending in XXXX, Wells Fargo said it didn't exist and that the phone message I received was a phishing message. Meanwhile, while I was at the bank, another charge came through account ending in XXXX, but was declined. 

On XX/XX/XXXX, I received an email stating that my new card ending in XXXX was in the mail. I immediately called Wells Fargo. Given that I had received a phone message earlier that there was suspicious activity, was told by Wells Fargo that this card didn't exist, and was told by Wells Fargo that their number was a phishing scam, I demanded the account be closed and the fraudulent charges be taken care of. I was again told I needed to go to a bank, even a non Wells Fargo bank to be verified and have it closed. Meanwhile, because Wells Fargo refused to close the account, more charges came in. My information was again being changed online through the Wells Fargo site, even after changing my password and adding 2 step verification. I received an email at XXXX XXXX   stating that my number had been changed and all of my security alerts had been deleted. I again went in, changed my password again and reinstated my current information. I attempted to reinstate my security alerts, but received a message from Wells Fargo stating that wasnt possible. 

These charges are fraudulent. 
XXXX XXXX XXXX ( XXXX, CA ) {$250.00} XXXX XXXX XXXX ( XXXX, CA ) {$53.00} XXXX XXXX XXXX ( XXXX, CA ) {$120.00} Fraudulent information placed on my card profile included : ( XXXX ) XXXX ( a disconnected number ) Security alerts removed. 

On XX/XX/XXXX I returned to The XXXX XXXX XXXX and was assisted by XXXX XXXX. After two hours of being transferred, put on hold, or told wed receive a call back, we were told NO. Wells Fargo was unwilling to close the account, refused to accept my verification, and stated I needed to go to a different bank. I again returned to the police station, and reached out to the XXXX and the AG and now have reached out to you. 

Friday XX/XX/XXXX, I received a new card in mail ( XXXX ), the card Wells Fargo earlier said didn't exist, earlier said it was a phishing scam, and earlier refused to cancel. The fraudulent charges are still present on my card. They have not yet been removed. All these charges were made in CA. 

I made my last payment today and Wells Fargo will receive this XX/XX/XXXX. What I owe Wells Fargo is {$0.00}. It was an electronic payment from my bank to theirs. The balance I owed was {$540.00}. I paid it in full. I have been desperately trying to get these fraudulent accounts shut down and those fraudulent transactions removed fully. Wells Fargo has denied this every step of the way. Because the hack included the email associated with the account and because Wells Fargo has willing allowed access to my account despite the 2 step verification and extra security measures I have taken, I will not release to them my new email. They only have my cell for which to contact me. I have communicated with Wells Fargo almost daily to no avail."
1211,"Wells Fargo sent me a flyer saying if I spent {$1000.00} within 3 months of account openning, WF will give me {$150.00} cash bonus which is redeemable in 2 billing cycles. I did spent more than {$2000.00} within 1 month, asking WF to post that cash bonus {$150.00} to my account. WF said NO, I have to wait until the 3 month period passed then 2 billing cycles in order to get the bonus."
1214,"Wells Fargo sent me an email back on XX/XX/XXXX stating that I had a bonus offer of {$150.00}. I called the XXXX number as to how to redeem this {$150.00} Bonus Offer and was advised that it could be redeemed on XX/XX/XXXX by going into the branch. 

However, I just called today, XX/XX/XXXX, and was advised that I did not make the guideline because I only spent {$470.00} in the first three months. I spoke with a manager also today. I told him to pull the tapes of the phone conversations as to the Wells Fargo employees verifying that I was entitled to {$150.00} bonus on XX/XX/XXXX. I actually spent {$1500.00} in the first three months of receiving the credit card. What a rip off. If I was not entitled back in XX/XX/XXXX, why not state it at that time? Today, XX/XX/XXXX, also,  one phone rep stated that the bonus will go directly into my account within 7 days. That is when I requested to speak to a manager."
