,Consumer complaint narrative
367,"XX/XX/2020 I went to make a mobile deposit. I have been trying to make this same mobile deposit every month for as long as Wells Fargo has installed Mobile banking. As normal I could not make the deposit. So I decided to walk to the branch. As I arrived the branch was closed to walk ins but you could make an appointment. I decided to walk through the drive thru. They would not take me at the drive - thru. I then called WF to see how I could deposit my checks. They told me that I could not, unless I made an appointment or drove a car. I could not make an appointment and I did not have a car so could not drive up. I then walked home. When I arrived at home I called WF to try to get a mobile deposit completed or withdraw my funds from the bank. They could not administer either a withdrawal of my funds nor a deposit. So I can not complete any banking with WF. I was in XXXX OR last week and I could enter the WF bank and complete my banking, in Texas which is a State that is open I can not walk into a bank. So I can not put money in or out. My money is locked."
368,"On XXXX XXXX I had a scam occur through XXXX from a XXXX XXXX conversation over someone whos account was hacked fro trying to buy a dinning room table I was selling. They said my XXXX was not a business account and I needed to send {$1700.00} to activate it to send large amounts of money or in my case, receive large amounts of money. I immediately reported the scam to WellsFargo who then denied it because it was not unauthorized."
370,"On XX/XX/2022, I contacted a shoe seller on XXXX to purchase 4 pairs of shoes for a total of {$1500.00}. One transaction was with XXXX for {$750.00} and the other transaction was with XXXX XXXX for {$750.00}. Both of these payments were sent on XX/XX/2022. Everything about him seemed legit so I sent him the money and he provided me with a fake tracking number and never sent the shoes to me. I tried to ask him to send me my money back and of course he wouldnt. So I contacted Wells Fargo which is the bank that is connected to my XXXX and XXXX XXXX. I opened claims and they said they could not refund me because the transactions were authorized. They never even allowed me to show my proof regarding the scam. I have screen shots of the messages on XXXX  between me and the scammer showing that he scammed me. I also have proof that the tracking number he sent is fake. It is XXXX. I tried contacting XXXX and XXXX but they said I had to contact my bank for a refund. However, Wells Fargo did not help at all. I am extremely upset and am looking for a refund."
372,"Hello, I attempted to purchase concert tickets to a XXXX XXXX concert in XXXX, Texas on XXXX/XXXX/XXXX @ XXXX PM. I responded to an ad on XXXX as someone was selling their tickets at face value. I was communicating with the person via text and they stated that they would send the concert tickets, once I sent a qp ( qualified payment ) via XXXX. I was immediately suspicious and called XXXX XXXX XXXX ( XXXX ). I asked if I would be protected if I never received my concert tickets. The XXXX rep stated that I had two hours to cancel the transaction, so I thought I was protected. I sent {$240.00} electronically to the seller who had a Wells Fargo Account. I transferred the money using XXXX, which was recommended by the seller. Once the money was sent over, the seller stopped all communication with me, and the tickets were NEVER sent. I immediately called XXXX back and was told the seller picked up the funds and there was no way for me to cancel the transaction. 

I opened up case # : XXXX with XXXX ; however, I was horrified to learn the that Wells Fargo would need permission from the seller to take back the money, that was stolen from me."
374,"I was victim of a scam due to a person posing as a delivery service who wanted funds in order for a package to be delivered to me from overseas. A total of {$8900.00} funds were transferred via XXXX, XXXX, and wire transfer. On XX/XX/2022 transaction of {$1500.00} and {$1900.00}. On XX/XX/2022 transaction of {$500.00}. On XX/XX/2022 transaction of {$1200.00} and {$3700.00}. Wells Fargo Bank will not return funds due to dispute is not valid via 3rd party, XXXX since it was not a "" transaction error ''. Some other transactions are under investigation still but all funds should be returned due to being a victim of a scam, which the bank should be understanding of the situation. There should be a better resolution instead of informing their client that there is no transaction error so funds can not be returned."
378,"We responded to an ad on craigslist for a rental house at the address above. We set up an appointment with someone named XXXX XXXX XXXX to go look at it at XXXX on Monday, XX/XX/XXXX. When we arrived, he wasn't there and was told to set up an account on rently.com in order to access the key inside a lock box to view the house. 

We wanted to go ahead with the rental and that's when XXXX said we needed to XXXX him the deposit of {$1200.00} to take it off the market. We thought he was sending us paperwork in the meantime, but he wasn't. There was a limit of {$500.00}, so that's what we sent. We told him no more money until we have a contract signed. XXXX wanted us to send the rest of the money via XXXX, but XXXX would not allow us to send more the same day. He sent us the application finally. 
When we noticed the application did not match any of the information associated with the listing, we left and went straight to Wells Fargo as XXXX continued to call us. We demanded our money back, he said we had to finish our application. We did not send back any application. He sent us the application form via XXXX. The subject of the email said, XXXX XXXX. 

At Wells Fargo, they said the only way to resolve this was over the phone, unfortunately. We immediately called Wells Fargo and XXXX ( through WF ). After multiple transfers, we finally filed an investigation claim with the Online Fraud department of Wells Fargo with XXXX. ( XX/XX/XXXX ) I even tried to request a payment back from XXXX via XXXX XXXX XX/XX/XXXX XXXX and it was immediately denied. 
Next we called XXXX PD and they never picked up the phone. We even called XXXX PD and were transferred back to XXXX PD and they never picked up. ( XX/XX/XXXX ) I followed up with WF 5 days later ( XX/XX/XXXX ) and they said they could not retrieve the funds from the recipient 's account as of today. Because of that, there was nothing else they could do. If they had tried when we initially called on XX/XX/XXXX, they probably could have retrieved the funds. They just chose not to. 

Now we are out {$500.00} and still do not have a place to move to."
379,"I made a XXXX transfer in the amount of {$400.00} on the Wells Fargo XXXX app, then the Wells Fargo app duplicated that and made two separate transfers of said amount. The transactions had identical confirmation numbers. When I filed a claim on XX/XX/2021 I was told to wait 10 business days but before the 10th business day the confirmation number of one of the transactions was changed making it look like it was not a duplicate error from their end. I followed up with them twice now and even escalated it to a 'higher level ' as the Wells Fargo representatives called it. They still refuse to refund me for their mistake."
380,"On XX/XX/XXXX at XXXX, I received a text message from XXXX stating they were Wells Fargo Security asking "" Did you use your debit card ending in XXXX at : XXXX XXXX, {$10.00} Declined, XX/XX/XXXX XXXX XXXX XXXX XXXX  {$15.00} Approved, XX/XX/XXXX XXXX PAYMENT, {$3500.00} Approved, XX/XX/XXXX If you recognize this activity, reply YES If not, reply NO STOP to end text I then replied NO and immediately received a call from XXXX at XXXX from a customer service representative stating she was with Wells Fargo security . Asking me if I made these transaction and I then proceeded to tell her NO. She said she would cancel my debit card immediately and issue me a refund of the XXXX XXXX XXXX XXXX charge. She then said the XXXX PAYMENT XXXX was approved but had not gone through yet and that I needed to reverse the transaction by sending the money back to myself. She sent me a text message from the Wells Fargo number ( XXXX ) at XXXX XXXX with a 6 digit code that I usually receive text messages from Wells Fargo and instructed me to login and give her the 6 digit code. She then told me that the XXXX payment was going to someone named XXXX XXXX and asked did I know them. I stated NO. She said that I'd need to login to XXXX and change my phone number back over to my name and send the money back to myself in which I did. She said to give it 15 minutes and I should see the charge made to my account I did not so I called Wells Fargo back immediately ( XXXX ). They then told me that that wasn't them and that that was a scam and that somehow their number was hijacked. They immediately deactivated my card and filed two claims 1 ) for the approved amount of XXXX at XXXXXXXX XXXX XXXX XXXXXXXXXXXX XXXX and 2 ) for the fraudulent XXXX transaction of XXXX. The XXXX was refunded but they denied the fraudulent XXXX transaction of XXXX"
382,"We are long term Wells Fargo customers. Savings, checking, home equity and XXXX, and direct deposits. We check our bank account activity every day. In early XX/XX/XXXX we noticed a few checking account transactions for less than {$1.00}. These were quickly followed by two withdrawals of {$1000.00} and {$1500.00}. We immediatly notified Wells Fargo of this theft and the account was frozen and a new account established. The stolen funds have been refunded. Within a week of the thefts there were five {$300.00} thefts via XXXX from the new checking account to the same person. We didn't request these transfers and do not know the person to whom the funds were transferred hence didn't get our usual notice from Wells Fargo of these five XXXX transactions. There was also an unsuccessful attempt to take funds from our home equity account. I immediaely filed a police report with XXXX and it is an active case, XXXX XXXX. Wells Fargo refuses to refund the {$1500.00}. 
We have met 4 times with representatives at the local bank branches, two hours each. ( names and dates available ) Their only action was to submit a complaint to their XXXX XXXX XXXX Office. We met 5 different people on the phone for hours from XXXX XXXX XXXX Office.They also told us that we should feel fortunate that we only lost {$1500.00} as they see so many customers who loose everything. After the 2nd letter of rejection and decision to not refund the {$1500.00}, I requested a meeting with an area vice president. The bank manager said that the meeting could only be set up by the XXXX XXXX Dept. When speaking to the XXXX XXXX Dept, ( names/dates available ) they told me that only the local branch manager could arrange that meeting. XX/XX/XXXX I emailed a note to XXXX XXXX XXXX, XXXX and XXXX of Wells Fargo. No response ( I did not expect anything from him, but certainly from someone who moniters his emails ) Seven days later, I emailed the same note to the XXXX of Wells Fargo. We received a call and spent over an hour on the phone and were told that she would be our advocate and look into the case. She said, at first glance she sees things that appear odd. One week later we received another letter declining any reimbursement. 
We would appreciate any help you can provide to resolve this issue the same way as the theft from our checking account."
383,Wells Fargo- I sent {$500.00} via XXXX to someone for a puppy purchase on XX/XX/2020 and discovered I have been scammed. Sent them proof I was scammed and was told they are not responsible and could not help me. I filed a complaint with XXXX to discover this company is a whole scam.I advised XXXX and Wells Fargo if this also. No response I also reached out to XXXX about the gift card being scammed no help
384,"I was talked into sending XXXX twice XXXX total via XXXX by a scammer in purchasing christmas football tickets for my son. we texted he walked me through everything and once I sent 2nd XXXX he hung up and blocked my # I understand I did it, I understand XXXX has no remedy like XXXX XXXX etc. However I do not understand how knowing exactly where the money went that the bank of the receiver or sender does not remburse and take away from the reciever. 
XXXX TO XXXX ON XX/XX/22 REF # XXXX CONFIRM. {$200.00} XXXX TO XXXX ON XX/XX/22 REF # XXXX {$200.00} Again I understand that I was duped, but how is this not traceable and refundable. I sent one he exlained I needed to send another with a mem on it and the 1st would be removed. My bank is Wells Fargo I love them, I am not happy I was scammed and not happy that with reference # 's this can not be traced and returned. XXXX said name was XXXX"
385,"Subject : Criminal Complaint, Estate Money Theft {$400000.00} Deposition was obtained XX/XX/XXXX at XXXX XXXX XXXX XXXX FL.. 

XXXX XXXX was appointed by XXXX XXXX ( my father ) as executor of his estate via will. XXXX XXXX closed the estate account in Georgia and opened up an estate account in the state of Fl. Wells Fargo XXXX, FL. I requested an annual accounting on several occasions without success. Hired Lawyer. XXXX XXXX estate bank records have been obtained by subpoena. 
XXXX XXXX bank records have been obtained via subpoena. Wells Fargo XXXX, FL.. 

Approximately {$400.00}, XXXX is missing from The XXXX XXXX Estate. XXXX XXXX had 3 seperate accounts with Well 's Fargo XXXX FL.. Transactions clearly show that money from XXXX XXXX Estate was transferred to one of the three XXXX accounts over a period of time in the state of FL. XXXX has been removed as executor. I have been appointed executor by the court. 

XXXX XXXX has yet to provide an accounting and has not been cooperative with this process that began on XX/XX/XXXX. Contempt of court. 

My accountants have created a P & L in regards to XXXX XXXX Estate. 

We are still unaware of where money is or what it was spent on. This is because she refuses to cooperate. 

Any assistance would be greatly appreciated."
386,"I already submitted my claim to CFPB regarding this claim, however Wells Fargo refuses the do the proper investigation to my claim, instead Well Fargo easy way out was to changed the facts and the information given. 
Wells Fargo Bank has been giving me the runaround for the last five months. Well Fargo must need to send the information given to the correct department to do the fraud investigation for the check XXXX XXXX forged the signature to cash the check and also the illegal steps he took to get a hold of this check and the money, Wells Fargo Bank should not be allowed to let this criminal XXXX XXXX to legally scam consumers. 

XXXX XXXX foraged the signature to endorsed the cashier check, cashed at Wells Fargo Bank. XXXX has returned the check and has served a subpoena against Wells Fargo Bank for relevant documents. Despite the check being made payable to a corporation, the check is endorsed as an individual and not on behalf of the named corporate entity, by someone with authority as is required under California law. Moreover, given that Ms. XXXX is named as every officer and sole director, she would be the only individual capable of authorizing any endorsement of the cashiers check. Consequently, without any authorization from Ms. XXXX, this is a fraudulent endorsement perpetrated by XXXX, notwithstanding the check wasnt endorsed as required by California law on behalf of the corporate entity. 
The information provided is squarely relevant to this analysis and shows beyond the fraudulent endorsed check, the larger scheme to defraud Ms. XXXX who is likewise trying to defraud XXXXXXXX XXXX. 
** SEE ATTACHMENTS"
387,"my name is XXXX. I have a checking account and credit card at Wells Fargo bank. It was the end of the month, and I was about to make a payment to pay off my Wells Fargo credit card. When I signed in, I saw that my checking account was extremely low, and i was not sure why. I checked to see why. I saw that there was a transaction that was NOT authorized by me. the transaction amount was XXXX dollars. it was a bill pay for a XXXX account. the transaction is described as "" Bill Pay XXXX XXXX   Services on-Line XXXX on XXXX '' .I do NOT have a XXXX  account. I freaked out, because I never made that transaction, so I made a call immediately to the fraud department. They said that they will do an investigation. Wells Fargo sent a message in the mail saying that your claim has been denied, because they were unable to reach me. I went to the local Wells Fargo, and I found out that the phone numbers that were on file were not mine. they re-opened the investigation, and they said "" our research of the transaction shows that it was requested through a secure online banking session using your username and password "". The employee that works in the fraud department told us to try and contact XXXX  to see if they can help you identify the person. We contacted them, and they refused to give us any information, because we do not have an account with them. we went back to the Wells Fargo bank to try and get the phone numbers that was on my account that wasn't mine. They also refused to give us the numbers. Every time we tried to solve the issue, they refused to help us, so they closed the case, and they did not want to re-open the claim. I really need this money. I worked extremely hard for it, and I got nothing out of it. I have a son that needs to go to college, and he needs some of the money."
388,"Last month me and my friend, tried to buy an XXXX throw XXXX. The scammer told us to send XXXX dollars throw XXXX. At the end I did not accept it. Later on I got inside my bank account and I didnt have XXXX dollars, on wells fargo and XXXX XXXX. So I called both banks to report it as a fraud transaction. The next days when my friend told me that he did made the transaction. We went to the police station, we contacted XXXX but they told they would not be able to do anything. 

At the same time XXXX XXXX answered me saying that they could not process my claim so I would not get my money back. I expected the same from Wells Fargo. So we did not change our claim. 

Days pass and we recieved an answer from wells fargo saying they would not be able to refund me the money. 

So this is my last option."
389,"On XXXX XXXX 2021, I received an auto text alert on my phone that asked me to authorize a XXXX transfer to a persons account that I did not recognize/initiate myself. I responded NO to the text, and immediately received a call on my phone that read as "" WELLS FARGO '' on the caller ID ( whom I utilize as my bank ). I answered and spoke with someone who identified themselves as being from the Fraud Department & inquired about the transaction which I perceived as the routine procedure to prevent fraudulent events. I later found out that this person I was speaking to was the scammer themselves & only impersonating someone from my actual Wells Fargo Bank to get my account information/2-step verification details in order to complete the transaction. In doing so, they authorized the transfer and I lost {$4000.00} dollars from my savings account. It has now been over a month of explaining this situation to Wells Fargo yet they continue to refuse to refund my money despite being tricked into doing so at no fault of my own. I did not authorize the payment & have documentation to prove this ( see attached files ). Only when I was deceived into believing I was speaking with representatives from my own bank did I divulge personal account information. This does not constitute personal authorization as they claim on my part, due to the fact that I was fraudulently induced to believe I was working with a trusted source from my own bank. Yet they continue to deny my claim. The scammers fraudulently impersonated both my bank ( Wells Fargo ) & myself by commandeering my account to authorize a transaction I did not consent to. I am asking Wells Fargo to refund the {$4000.00} unlawfully taken from me per my right as a Well Fargo Bank customer & XXXX XXXX protected by Regulation E of the Federal Electronic Funds Transfer Act."
391,"On XX/XX/2019, I logged into my Wells Fargo ( WF ) online account and sent {$100.00} to my sister via their XXXX money transfer function. Per the instructions on WF 's site, my sister should have received a text notifying her of the incoming money transfer and provide her with instructions on how to register her mobile number and bank account in order to receive the funds. My sister never received a text or email notification. I waited 3-4 days to see if perhaps it was delayed, but she never received anything. I asked her to download the XXXX app and set up an account to see if once her mobile # was registered in their system, the funds would come through. My sister set up a profile with XXXX, after waiting 1-2 more days the funds still never came through. 
On XX/XX/2019, I contacted Wells Fargo to inquire about the transfer. I spoke with XXXX who indicated that between the dates of XX/XX/XXXX - XX/XX/2019, there was a technical issue at XXXX that prevented some money transfers from processing correctly. She then opened a dispute/claim ( # XXXX ) to research the matter and said they should be able to locate the funds and return them to my account. 
On XX/XX/2019, I received the attached letter from Wells Fargo indicating that after researching the matter, they are showing that the funds had been accepted/processed, so they are unable to stop or reverse the funds back to my account. I checked with my sister who confirmed that she had not received the funds. I then called Wells Fargo and spoke with XXXX in their Claims Dept. XXXX reviewed the claim notes and notified me that their research found that the funds were processed and received by a XXXX user, but that the name did not match my sister 's name, the intended recipient. She then stated that perhaps my sister 's mobile # is attached to another customer 's "" token '' and that may be what caused the funds to go to the wrong person, but because the transfer has already been processed, they could not help me any further and that i would need to work with XXXX to research further. My sister has had the same phone # for almost 10 years and she established a XXXX account using that phone #, so i'm not sure how it could be connected to another person/token. 
After speaking with XXXX I contacted XXXX and spoke with XXXX regarding the matter. I conferenced my sister in on the call so that she could verify her XXXX profile information to allow them to confirm if any funds had been received. XXXX confirmed that since setting up her profile on or around XX/XX/2019, no funds have been received. Although he could see that the funds had not been received by my sister, XXXX stated that he had no way to trace the transaction from Wells Fargo to see where the funds went. He then instructed me to work with Wells Fargo to resolve. I called Wells Fargo back and spoke with XXXX (? ) in the Claims dept., and was told the same thing XXXX had told me. He said they have no control over the XXXX application and even though i used Wells Fargo 's website to send the funds, once it's processed they have no means to research further or retrieve the funds and to work with XXXX. Long story short, both Wells Fargo and XXXX keep sending me back and forth between the two institutions stating that neither have the ability to see where the funds went and that neither can refund my money to me. 
All i want is my {$100.00} back. PLEASE HELP!! This has been a terrible customer service experience with both companies. If they are in a partnership together, one would think they would have an established process to resolve incidents like this and the ability to trace the movement of funds from one entity to the other via some type of trace / transit / reference # or something."
393,"On XX/XX/2023, at XXXX I was called by a person who claimed to be a Wells Fargo representative. The person spoofed the call so that it would appear as Wells Fargo and have the correct customer service number.The individual informed me that someone had tried to use my debit card to make various purchases, and that the purpose of this call to keep that from happening. They asked me to verify the codes that was sent to me, which I did under the impression that this was me verifying my identity to protect my account. Shortly after I checked my emails and see several Wells Fargo messages about Wells Fargo wires, new recipient and a wire transfer initiated and pending for XXXX XXXX As soon as I saw this I immediately called Wells Fargo, the time was XXXX. I informed them that I had not initiated this wire transfer and to cancel it/freeze the transaction. I was informed that it was already pending and that there was nothing that could be done besides to open a claim and to request the money back. Over the following days I corresponded via phone with the Wells Fargo fraud department and the claims departments. They said my claim was denied because I "" approved "" the transfer through the codes. And that they requested my funds back from the fraudsters XXXX XXXX XXXXXXXX account but there was nothing there. I told them I wanted to appeal my claim denial and was contacted by someone in charge of the claims department on XX/XX/2023, and I explained my situation. That day I was reimbursed the XXXX $ wire charge. On XX/XX/2023 I was called and informed that they would not be able to reimburse me because the money was no longer present in the XXXX account. 
I have made a report with XXXX as well as the FTC"
395,In XXXX  I was depositing payroll checks {$500.00} a week and wells Fargo was taking it all where I had a {$0.00} balance immediately after my deposits and seen where something saying I was XXXX enrolled and I went up to the offices of wells Fargo on XXXX XXXX and XXXX XXXX XXXX asking them to see how that's happening because I was going to loose my place to live them taking all of my money for months. They proceeded to tell me at XXXX years old I had no choice but to claim bankruptcy knowing they could have stopped those fees and whatever else was taking all my money.
396,On XX/XX/19 I received a call from samone who identified as a family member requesting that I send a XXXX payment. Because I typically send payments to that particular family through others I wasnt reluctant to send the payment. I called that family member on XX/XX/19 concerned that they had not received the funds. At that moment that had advised they never called and it wasnt them that made the request. I immediately called my bank to make them aware and file a dispute. They said that this will be filed and take 10 business days which I was advised no later than XX/XX/19. I have not received any paper work from Wells Fargo not via mail or email regarding my claim. Every time I call Im transferred several times. It pains me to see that my bank is supposed to protect me and yet they havent. Out of the millions of customers Wells Fargo has defrauded they should be more helpful to the customers whos remained loyal to them after all the things that have transpired. Its {$90.00}! Thats not going to XXXX  them to credit a customer who never disputes anything. My cell phone service was turned off over this! I had to do without gas and no one takes this serious. Its sad. I want someone to do something about this!
398,"Hello sir/madam We started to transfer our money from XXXX to XXXX through XXXX about 3 months ago, we talked to our bank ( wells fargo ) in advance to get permissions and the OFAC license XXXX the bank told us we are good to go. So we started to wire the money in several XXXX and XXXX wires continuously. Each time a wire was received by the bank they asked us to go there and sign OFAC AFFIDAVIT paper and after a a few days the bank would credited our account, but after all the transferring was done we realized the bank has not credited our total amount of XXXX $ instead they gave us XXXX $ .we waited a few days but no luck. XXXX $ is missing. We have all the ofac affidavit papers that sais in total the amount is XXXX but they say its not a proof! The problem is that we dont know which of these several wires have been credited and which ones havent because they all been continuously sent and very similar amounts. But with further investigation we find 12 possible wires that that could be it, 7 of these 12 havent been credited. We asked the bank to check these 12 ofac affidavit papers because they have reference numbers on them but they are not helping us! Its been a month and we are going back and forth and nothing so far, no one is helping us. 
The bank said maybe theres a problem with the bank in XXXX, but they gave us the ofac papers to sign! So we know that the money is here, but no one seems to know where its gone! And we tried to talk to everyone even in different branches but no one is helping. 
So Im here asking you to help us, we need the rest of the money we are stressed out Could you help us please?"
399,"For the past several years, my Social Security monthly benefit payments have been transferred into my checking account at Wells Fargo Bank on the XXXX  Wednesday of each month. This was done per Social Security Policy. As of today, the payment schedule remains their policy with respect to my monthly payments. 
Recently, under a new service called "" Early Pay Day '' Wells Fargo notified me, in writing, that my Social Security deposit would be available two days earlier than the usual XXXX Wednesday of the month. 
I have banking and financial analysis experience and am a CPA ( Inactive license ). I am concerned that this "" Early Pay Day '' is nothing other than a short term loan from Wells Fargo for which they collect interest. 
Alternately, I am concerned that, for reasons for their own, Wells Fargo is artificially inflating my deposits on had for the sake of their financial statement presentations. With over 85 million customers this could be a huge misleading effort. Based on the news of the past few years, this would not be the first time Wells Fargo has pulled such a stunt. 
If Social Security has not changed their cash availability date, how is Wells Fargo able to make the payment available? As of this morning, my monthly payment shows on my Wells Fargo web site account as "" Pending Deposit. '' Yet the Wells Fargo representative I spoke with assured me the cash was available when it appeared yesterday, two days early. 
Based on their past history of fraudulent activity, I am concerned that Wells Fargo may be trying to perpetuate another scam. Please advise."
400,"I was contacted by a fraudulant email ( XXXX ) pretending to be a XXXX  They explained they had changed banks and asked me to change the direct deposit information to their new bank. I didn't realize it was a scam and, on behalf of the company XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX, XXXX in Minnesota ) changed the direct deposit info and deposited {$6200.00} into the account they gave me ( Bank Name : XXXX XXXX, Routing Number : XXXX, Account Number : XXXX ) using Wells Fargo 's "" Direct Pay '' payment function. 

I contacted Wells Fargo and they refused to reverse the charge, initiate an inquiry or provide any recourse of any kind. A payment tool managed by Wells Fargo should have some form of recourse or assistance associated with the tools that we pay for."
402,Account is n't always updated on time so I lose money and sometimes in the negative. Also sometimes transactions do n't go through right away
403,"On XXXX XX/XX/2020 a man came to my home to do labor for me. When he got here, I sent him {$100.00} over XXXX for the work, he then promptly drove off and disconnected what was apparently a burner phone. I have no means to contact that man now. Everything he gave me information-wise apparently was made up. 

I called Wells Fargo to have this reversed and they simply stated to me that deep down in their Terms and Conditions for XXXX that if you authorize a payment that you can't have it reversed. That's perplexing to me provided my bank supposedly offers insurance on their accounts / services for scams and fraud on transactions / transfers."
406,"Bankers  keep putting in charges incorrectly. Im no banker but seems money order charges go under a different fee schedule then with drawls. Attached is evidence of a banker named XXXX who sold me a money order and labeled the fee as a withdrawal. I never signed the withdraw form so Im interested to see if she took XXXX $ from my account anyways. They are blocking me from using my online portal. When I asked for the fee to be waived XXXX lied to her manager stating she asked me to take off my sunglasses and I refused. This is not true. Several of the bankers will make up lies like this to make it look like your being difficult. I was happy to take my glasses off. Nothing to hide. The manager was then rude to me. I notified her of the bank misreporting my funds and she acted like I was trying to get a free money order. 

I explained to her that if I cant trust the bank with my money I needed free money orders to pay my bill. She did not care at all that I reported loss money in my account. One of the rudest woman that doesnt deserve to manage a bank! So she set me up with an appointment to work with XXXX at XXXX on Monday. XXXXll be interested to see if theres an actual XXXX by the way I was treated by rude manager!"
